Camilia, lat, transcription, </lb>Camilia</gap>, texts/emma0001.xml
Heres, lat, transcription, </lb><abbr>H</abbr><ex>eres</ex></expan>, texts/emma0001.xml
Hic, lat, transcription, </lb><abbr>H</abbr><ex>ic</ex></expan>, texts/emma0001.xml
Macedonicae, lat, transcription, </lb><abbr>Mac</abbr><ex>edonicae</ex></expan>&#44;, texts/emma0001.xml
Oppiusfilius, lat, transcription, Oppi<supplied>us</gap><abbr>f</abbr><ex>ilius</ex></expan>, texts/emma0001.xml
Ravena, lat, transcription, <sic>Rave<supplied>na</supplied>, texts/emma0001.xml
Ravenna, lat, transcription, <corr>Ravenna</corr></choice>, texts/emma0001.xml
V, lat, transcription, V, texts/emma0001.xml
VIIII, lat, transcription, VIIII., texts/emma0001.xml
XXX, lat, transcription, </lb>XXX&#44;, texts/emma0001.xml
annos, lat, transcription, <corr>annos</corr></choice>, texts/emma0001.xml
anos, lat, transcription, <sic>anos</sic>, texts/emma0001.xml
cio, lat, transcription, </lb>cio, texts/emma0001.xml
est, lat, transcription, <abbr>e</abbr><ex>st</ex></expan>., texts/emma0001.xml
fecit, lat, transcription, <abbr>f</abbr><ex>ecit</ex></expan>.</p></div>, texts/emma0001.xml
legionis, lat, transcription, <abbr>leg</abbr><ex>ionis</ex></expan>, texts/emma0001.xml
miles, lat, transcription, </lb>miles, texts/emma0001.xml
militavit, lat, transcription, <abbr>milita</abbr><ex>vit</ex></expan>, texts/emma0001.xml
optio, lat, transcription, optio&#44;, texts/emma0001.xml
situs, lat, transcription, <abbr>s</abbr><ex>itus</ex></expan>, texts/emma0001.xml
vixit, lat, transcription, </lb>vixit, texts/emma0001.xml
