AntiochbyDaphne, AntiochbyDaphne, -transl, , Antioch-by-Daphne&#44;, texts/xml/caes0126.xml
Augustal, Augustal, -transl, , Augustal</rs>&#44;, texts/xml/caes0122.xml
Augustan, Augustan, -transl, , Augustan, texts/xml/caes0122.xml
Despotes, Despotes, -transl, , Despotes, texts/xml/caes0125.xml
Dolichenos, Dolichenos, -transl, , </rs>Dolichenos</rs>., texts/xml/caes0124.xml
Eusebia, Eusebia, -transl, , Eusebia, texts/xml/hamm0021.xml
God, God, -transl, , God, texts/xml/caes0125.xml
Gregorius, Gregorius, -transl, , Gregorius, texts/xml/hamm0021.xml
In, In, -transl, translation, In, texts/xml/hamm0021.xml
Jupiter, Jupiter, -transl, , </rs>(Jupiter), texts/xml/caes0124.xml
Kaikillios, Kaikillios, -transl, , </persName>Kaikillios, texts/xml/caes0126.xml
Kointos, Kointos, -transl, translation, Kointos, texts/xml/caes0126.xml
Maximus, Maximus, -transl, , Maximus, texts/xml/hamm0021.xml
Megas, Megas, -transl, , Megas, texts/xml/caes0125.xml
Menof, Menof, -transl, , Men</rs>...of, texts/xml/caes0122.xml
Sarias, Sarias, -transl, , Sarias, texts/xml/hamm0021.xml
Six, Six, -transl, , Six, texts/xml/caes0122.xml
That, That, -transl, translation, [That</p></div>, texts/xml/mger0150.xml
To, To, -transl, translation, To, texts/xml/caes0125.xml
Viktor, Viktor, -transl, translation, Viktor</persName>&#44;, texts/xml/caes0124.xml
Zeus, Zeus, -transl, , Zeus, texts/xml/caes0124.xml
a, a, -transl, , a, texts/xml/caes0126.xml
a, a, -transl, , a, texts/xml/caes0126.xml
actor, actor, -transl, , actor, texts/xml/caes0126.xml
an, an, -transl, translation, an, texts/xml/caes0122.xml
and, and, -transl, , and, texts/xml/hamm0021.xml
and, and, -transl, , </persName>and, texts/xml/hamm0021.xml
and, and, -transl, , </persName>and, texts/xml/hamm0021.xml
be, be, -transl, , </rs>be, texts/xml/hamm0021.xml
by, by, -transl, , by, texts/xml/caes0122.xml
children, children, -transl, , children., texts/xml/hamm0021.xml
colony, colony, -transl, , colony&#44;, texts/xml/caes0122.xml
comic, comic, -transl, , comic, texts/xml/caes0126.xml
competitions, competitions, -transl, , (competitions?)&#44;, texts/xml/caes0122.xml
decree, decree, -transl, , decree, texts/xml/caes0122.xml
decurions, decurions, -transl, , decurions</rs>., texts/xml/caes0122.xml
dedicated, dedicated, -transl, , dedicated, texts/xml/caes0126.xml
for, for, -transl, , for, texts/xml/caes0122.xml
fulfillment, fulfillment, -transl, , fulfillment, texts/xml/caes0126.xml
his, his, -transl, , </persName>his, texts/xml/hamm0021.xml
in, in, -transl, , in, texts/xml/caes0126.xml
it, it, -transl, , (it?), texts/xml/caes0122.xml
leading, leading, -transl, , leading, texts/xml/caes0126.xml
made, made, -transl, , made, texts/xml/caes0122.xml
may, may, -transl, , </rs>may, texts/xml/hamm0021.xml
of, of, -transl, , of, texts/xml/caes0122.xml
of, of, -transl, , of, texts/xml/caes0122.xml
of, of, -transl, , of, texts/xml/caes0126.xml
of, of, -transl, , </rs>of, texts/xml/caes0126.xml
of, of, -transl, , of, texts/xml/caes0126.xml
one, one, -transl, , one, texts/xml/caes0122.xml
ous, ous, -transl, , </persName>--ous, texts/xml/caes0126.xml
public, public, -transl, , public, texts/xml/hamm0021.xml
remembered, remembered, -transl, , remembered&#44;, texts/xml/hamm0021.xml
roles, roles, -transl, , roles&#44;, texts/xml/caes0126.xml
the, the, -transl, , the, texts/xml/caes0122.xml
the, the, -transl, , the, texts/xml/caes0122.xml
the, the, -transl, , the, texts/xml/caes0122.xml
the, the, -transl, , the, texts/xml/caes0122.xml
the, the, -transl, , the, texts/xml/caes0122.xml
the, the, -transl, , </persName>the, texts/xml/hamm0021.xml
this, this, -transl, , this, texts/xml/caes0126.xml
vow, vow, -transl, , vow., texts/xml/caes0126.xml
weigher, weigher, -transl, , weigher, texts/xml/hamm0021.xml
